"","sub_id","common_name","sci_name","tax_order","count_raw","state","county","loc","locid","lat","lon","date","time","protocol","distance_traveled","area_covered","all_obs","breed_code","checklist_comments","observers","vehicles","weather","notes","count","year","mbbs_county","route_num","stop_num","hab_hm","hab_p","hab_o","hab_b","hab_other","source"
"21","S14327112","Canada Goose","Branta canadensis",303,"2","US-NC","Orange","MBBS, NC, Orange Co, Route 06, Friends School Road","L959142",35.99957,-79.01794,2013-06-02,"05:30 AM","eBird - Traveling Count",16.093,NA,1,"","observers&#61;Robin Moran, Judy Murray; others&#61;Julia Huff-Jermoe; weather&#61;69 degrees F, cloudy, breezy; vehicles&#61;44; notes&#61;no habitat changes.","Robin Moran, Judy Murray",44,"69 degrees F, cloudy, breezy",NA,2,2013,"orange",6,NA,NA,NA,NA,NA,NA,NA
"22","S29937189","Canada Goose","Branta canadensis",303,"2","US-NC","Orange","MBBS, NC, Orange Co, Route 06, Friends School Road","L959142",35.99957,-79.01794,2016-05-15,"05:30 AM","eBird - Traveling Count",16.093,NA,1,"","observers&#61;Robin Moran, Judy Murray; weather&#61;clear, light breeze, 49F; vehicles&#61;73.","Robin Moran, Judy Murray",NA,"clear, light breeze, 49F",NA,2,2016,"orange",6,NA,NA,NA,NA,NA,NA,NA
"23","S8251750","Canada Goose","Branta canadensis",303,"11","US-NC","Orange","MBBS, NC, Orange Co, Route 07, Mill Creek Road","L959146",36.13213,-79.22397,2011-05-15,"05:40 AM","eBird - Traveling Count",16.093,NA,1,"","observers&#61;Betty King; weather&#61;?; vehicles&#61;?","Betty King",NA,NA,NA,11,2011,"orange",7,NA,NA,NA,NA,NA,NA,NA
"24","S10819220","Canada Goose","Branta canadensis",303,"4","US-NC","Orange","MBBS, NC, Orange Co, Route 07, Mill Creek Road","L959146",36.13213,-79.22397,2012-05-17,"05:40 AM","eBird - Traveling Count",16.093,NA,1,"","observers&#61;Betty King; weather&#61;daylight  temp 60s F, morning temp 70s F and clear; vehicles&#61;49 total; habitat&#61;1B,O/B, 2B,B, 3B,B, 4B,W/O, 5B,B, 6B,B, 7B,B, 8B,S, 9S,O, 10B,B, 11S,W/S, 12O,W/B, 13B,S, 14B,O, 15O/M,B 16O/S,B/S, 17S,O/W, 18S/O,O/W, 19B/O,O, 20S,O.","Betty King",NA,"daylight  temp 60s F, morning temp 70s F and clear",NA,4,2012,"orange",7,NA,NA,NA,NA,NA,NA,NA
"25","S23775970","Canada Goose","Branta canadensis",303,"19","US-NC","Orange","MBBS, NC, Orange Co, Route 07, Mill Creek Road","L959146",36.13213,-79.22397,2015-05-31,"05:25 AM","eBird - Traveling Count",16.093,NA,1,"","observers&#61;Brian Bockhahn; weather&#61;69 to 73 degrees, light winds, mostly cloudy; vehicles&#61;6;","Brian Bockhahn",6,"69 to 73 degrees, light winds, mostly cloudy",NA,19,2015,"orange",7,NA,NA,NA,NA,NA,NA,NA
"26","S37428178","Canada Goose","Branta canadensis",303,"2","US-NC","Orange","MBBS, NC, Orange Co, Route 07, Mill Creek Road","L959146",36.13213,-79.22397,2017-06-06,"05:30 AM","eBird - Traveling Count",16.093,NA,1,"","observers&#61;Brian Bockhahn; weather&#61;68F, mostly clear, no wind; vehicles&#61;23","Brian Bockhahn",NA,"68F, mostly clear, no wind",NA,2,2017,"orange",7,NA,NA,NA,NA,NA,NA,NA
"27","S56768665","Canada Goose","Branta canadensis",303,"4","US-NC","Orange","MBBS, NC, Orange Co, Route 07, Mill Creek Road","L959146",36.13213,-79.22397,2019-05-23,"05:28 AM","eBird - Traveling Count",16.093,NA,1,"","observers&#61;brian bockhahn; weather&#61;63F, partly cloudy, no wind; vehicles&#61;21","brian bockhahn",NA,"63F, partly cloudy, no wind",NA,4,2019,"orange",7,NA,NA,NA,NA,NA,NA,NA
"28","S8440995","Canada Goose","Branta canadensis",303,"1","US-NC","Orange","MBBS, NC, Orange Co, Route 09, Borland Road","L959138",35.99968,-79.12003,2011-06-12,"05:30 AM","eBird - Traveling Count",16.093,NA,1,"","OBSERVERS&#61;DAVID CURTIN; weather&#61;70F, foggy; vehicles&#61;10",NA,NA,"70F, foggy",NA,1,2011,"orange",9,NA,NA,NA,NA,NA,NA,NA
"29","S15171352","Canada Goose","Branta canadensis",303,"2","US-NC","Orange","MBBS, NC, Orange Co, Route 09, Borland Road","L959138",35.99968,-79.12003,2013-06-16,"05:34 AM","eBird - Traveling Count",16.093,NA,1,"","observers&#61;David Curtin; weather&#61;72 F, sunny to partly cloudy, light wind; vehicles&#61;5; habitat&#61;no changes; notes&#61;first Fish Crows for this route, bridge out near start - much less traffic early on","David Curtin",5,"72 F, sunny to partly cloudy, light wind",NA,2,2013,"orange",9,NA,NA,NA,NA,NA,NA,NA
"30","S18635358","Canada Goose","Branta canadensis",303,"3","US-NC","Orange","MBBS, NC, Orange Co, Route 09, Borland Road","L959138",35.99968,-79.12003,2014-05-25,"05:30 AM","eBird - Traveling Count",16.093,NA,1,"","Observers&#61;David Curtin;weather&#61;clear,72F;vehicles&#61;20",NA,NA,"clear,72F",NA,3,2014,"orange",9,NA,NA,NA,NA,NA,NA,NA
"31","S24891198","Canada Goose","Branta canadensis",303,"5","US-NC","Orange","MBBS, NC, Orange Co, Route 09, Borland Road","L959138",35.99968,-79.12003,2015-05-24,"05:27 AM","eBird - Traveling Count",16.093,NA,1,"","Observers&#61;David Curtin;weather&#61;70F;vehicles&#61;24",NA,NA,"70F",NA,5,2015,"orange",9,NA,NA,NA,NA,NA,NA,NA
"32","S14248552","Canada Goose","Branta canadensis",303,"2","US-NC","Orange","MBBS, NC, Orange Co, Route 10, New Hope Church Road","L960645",35.99973,-79.10725,2013-05-26,"05:30 AM","eBird - Traveling Count",16.093,NA,1,"","observer&#61;Nathan Swick; weather&#61;50F, overcast; vehicles&#61;13; habitat&#61; no change; notes&#61;1 Wild Turkey seen from side of road after count on stop 13.","Nathan Swick",13,"50F, overcast",NA,2,2013,"orange",10,NA,NA,NA,NA,NA,NA,NA
"33","S46103457","Canada Goose","Branta canadensis",303,"4","US-NC","Orange","MBBS, NC, Orange Co, Route 10, New Hope Church Road","L3644919",35.99973,-79.10725,2018-05-28,"05:30 AM","eBird - Traveling Count",16.093,NA,1,"","observer&#61;Barb Brooks; weather&#61;68, partly cloudy to cloudy; vehicles&#61;41;habitat@2 L&#61;B, R&#61;B, habitat@16 L&#61;B, R+P/O","Barb Brooks",41,"68, partly cloudy to cloudy",NA,4,2018,"orange",10,NA,NA,NA,NA,NA,NA,NA
"34","S11121959","Canada Goose","Branta canadensis",303,"4","US-NC","Orange","MBBS, NC, Orange Co, Route 11, Damascus Church Road","L959140",35.86652,-79.11248,2012-06-17,"06:00 AM","eBird - Traveling Count",16.093,NA,1,"","observers&#61;Ali Iyoob; weather&#61;62F, partly cloudy, wind 4 mph; vehicles&#61;7","Ali Iyoob",NA,"62F, partly cloudy, wind 4 mph",NA,4,2012,"orange",11,NA,NA,NA,NA,NA,NA,NA
"35","S6513942","Canada Goose","Branta canadensis",303,"35","US-NC","Orange","MBBS, NC, Orange Co, Route 12, Mount Carmel Church Road","L960639",35.86703,-79.029,2010-05-31,"05:30 AM","eBird - Traveling Count",16.093,NA,1,"","Mini Breeding Bird Survey, Orange Co, NC (3 min counts, radius 0.25 miles, 0.5 miles apart, total counts 20); observers&#61;H. Wiley; others&#61;M. Wiley; weather&#61;clear, 75F, no wind, no rain; vehicles&#61;26; notes&#61;no unusual circumstances",NA,26,"clear, 75F, no wind, no rain",NA,35,2010,"orange",12,NA,NA,NA,NA,NA,NA,NA
