route,date,time,observers,spec_code,common_name,count,year,route_num,hab_hm,hab_p,hab_o,hab_b,hab_other,vehicles,notes
,6/2/2002,5:30,Carol Williamson and Norm Budnitz,RBWO,Red-bellied Woodpecker,9,2002,3,,,,,,,Common Nighthawk is a new species for the MBBS!   Note the Gray Catbirds and Song Sparrows in Durham.   Catbirds are apparently a town bird in this area.
,6/2/2002,5:30,Carol Williamson and Norm Budnitz,DOWO,Downy Woodpecker,4,2002,3,,,,,,,Common Nighthawk is a new species for the MBBS!   Note the Gray Catbirds and Song Sparrows in Durham.   Catbirds are apparently a town bird in this area.
,6/2/2002,5:30,Carol Williamson and Norm Budnitz,NOFL,N Flicker,1,2002,3,,,,,,,Common Nighthawk is a new species for the MBBS!   Note the Gray Catbirds and Song Sparrows in Durham.   Catbirds are apparently a town bird in this area.
,6/2/2002,5:30,Carol Williamson and Norm Budnitz,ACFL,Acadian Flycatcher,2,2002,3,,,,,,,Common Nighthawk is a new species for the MBBS!   Note the Gray Catbirds and Song Sparrows in Durham.   Catbirds are apparently a town bird in this area.
,6/2/2002,5:30,Carol Williamson and Norm Budnitz,EAPH,E Phoebe,2,2002,3,,,,,,,Common Nighthawk is a new species for the MBBS!   Note the Gray Catbirds and Song Sparrows in Durham.   Catbirds are apparently a town bird in this area.
,6/2/2002,5:30,Carol Williamson and Norm Budnitz,GCFL,Gr Crested Flycatcher,3,2002,3,,,,,,,Common Nighthawk is a new species for the MBBS!   Note the Gray Catbirds and Song Sparrows in Durham.   Catbirds are apparently a town bird in this area.
,6/2/2002,5:30,Carol Williamson and Norm Budnitz,REVI,Red-eyed Vireo,10,2002,3,,,,,,,Common Nighthawk is a new species for the MBBS!   Note the Gray Catbirds and Song Sparrows in Durham.   Catbirds are apparently a town bird in this area.
,6/2/2002,5:30,Carol Williamson and Norm Budnitz,BLJA,Blue Jay,13,2002,3,,,,,,,Common Nighthawk is a new species for the MBBS!   Note the Gray Catbirds and Song Sparrows in Durham.   Catbirds are apparently a town bird in this area.
,6/2/2002,5:30,Carol Williamson and Norm Budnitz,AMCR,Am Crow,19,2002,3,,,,,,,Common Nighthawk is a new species for the MBBS!   Note the Gray Catbirds and Song Sparrows in Durham.   Catbirds are apparently a town bird in this area.
,6/2/2002,5:30,Carol Williamson and Norm Budnitz,FICR,Fish Crow,1,2002,3,,,,,,,Common Nighthawk is a new species for the MBBS!   Note the Gray Catbirds and Song Sparrows in Durham.   Catbirds are apparently a town bird in this area.
,6/2/2002,5:30,Carol Williamson and Norm Budnitz,BARS,Barn Swallow,7,2002,3,,,,,,,Common Nighthawk is a new species for the MBBS!   Note the Gray Catbirds and Song Sparrows in Durham.   Catbirds are apparently a town bird in this area.
,6/2/2002,5:30,Carol Williamson and Norm Budnitz,CACH,Carolina Chickadee,5,2002,3,,,,,,,Common Nighthawk is a new species for the MBBS!   Note the Gray Catbirds and Song Sparrows in Durham.   Catbirds are apparently a town bird in this area.
,6/2/2002,5:30,Carol Williamson and Norm Budnitz,TUTI,Tufted Titmouse,4,2002,3,,,,,,,Common Nighthawk is a new species for the MBBS!   Note the Gray Catbirds and Song Sparrows in Durham.   Catbirds are apparently a town bird in this area.
,6/2/2002,5:30,Carol Williamson and Norm Budnitz,WBNU,White-br Nuthatch,3,2002,3,,,,,,,Common Nighthawk is a new species for the MBBS!   Note the Gray Catbirds and Song Sparrows in Durham.   Catbirds are apparently a town bird in this area.
,6/2/2002,5:30,Carol Williamson and Norm Budnitz,BHNU,Brown-headed Nuthatch,3,2002,3,,,,,,,Common Nighthawk is a new species for the MBBS!   Note the Gray Catbirds and Song Sparrows in Durham.   Catbirds are apparently a town bird in this area.
